,Unnamed: 0,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,ps_code,urban,dist_urban,treatment,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,urban_encoded,treatment_encoded,year_YYYY,month_MM
55,55,2020-04-01,112,10,6,15,0,1,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2020,3
56,56,2018-12-01,25,0,0,0,0,25,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2018,11
57,57,2019-12-01,43,10,6,18,0,5,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2019,11
58,58,2018-06-01,57,0,0,0,0,49,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2018,5
59,59,2019-09-01,38,6,5,13,0,9,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2019,8
60,60,2018-10-01,40,2,2,1,0,36,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2018,9
61,61,2019-03-01,40,7,5,10,0,5,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2019,2
62,62,2020-01-01,68,14,9,19,0,5,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2020,0
63,63,2020-05-01,65,12,7,19,0,7,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2020,4
64,64,2019-06-01,52,10,4,17,0,8,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2019,5
65,65,2019-05-01,51,12,6,17,0,5,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2019,4
66,66,2019-07-01,34,7,4,5,0,8,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2019,6
67,67,2020-03-01,58,13,7,21,0,0,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2020,2
68,68,2019-01-01,50,6,5,4,0,20,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2019,0
69,69,2019-02-01,50,1,1,4,0,3,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2019,1
70,70,2018-07-01,57,1,1,0,0,45,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2018,6
71,71,2018-11-01,39,5,5,5,0,21,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2018,10
72,72,2019-10-01,44,12,8,22,0,3,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2019,9
73,73,2019-11-01,40,3,2,4,0,3,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2019,10
74,74,2018-09-01,32,5,5,1,0,23,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2018,8
75,75,2020-02-01,20,7,3,13,0,0,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2020,1
76,76,2018-11-01,7,2,2,5,0,2,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2018,10
77,77,2019-04-01,11,1,1,1,0,5,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2019,3
78,78,2019-05-01,8,0,0,0,0,5,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2019,4
79,79,2019-12-01,13,7,5,9,2,8,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2019,11
80,80,2019-06-01,18,3,1,7,0,9,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2019,5
81,81,2019-11-01,16,2,2,3,1,1,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2019,10
82,82,2018-06-01,19,7,5,11,0,17,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2018,5
83,83,2018-07-01,19,8,5,7,0,14,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2018,6
84,84,2018-05-01,19,7,5,7,0,9,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2018,4
85,85,2019-02-01,15,5,3,5,0,3,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2019,1
86,86,2020-05-01,17,3,2,10,0,1,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2020,4
87,87,2020-01-01,12,2,1,4,2,6,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2020,0
88,88,2019-09-01,8,2,2,1,0,7,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2019,8
89,89,2019-01-01,20,5,4,5,0,4,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2019,0
90,90,2018-09-01,8,3,3,7,0,1,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2018,8
91,91,2019-03-01,20,5,3,6,0,3,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2019,2
92,92,2020-03-01,17,7,7,7,0,9,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2020,2
93,93,2018-10-01,10,5,4,8,0,4,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2018,9
94,94,2018-08-01,9,2,2,1,0,8,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2018,7
95,95,2019-08-01,12,1,1,0,2,18,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2019,7
96,96,2019-07-01,18,4,3,13,2,14,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2019,6
97,97,2019-10-01,11,2,2,2,2,1,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2019,9
98,98,2020-04-01,19,2,2,2,0,5,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2020,3
99,99,2018-12-01,4,2,1,0,0,2,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0,2018,11
100,100,2018-05-01,15,1,1,1,0,53,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2018,4
101,101,2019-02-01,11,0,0,0,0,3,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2019,1
102,102,2019-11-01,9,1,1,1,0,0,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2019,10
103,103,2018-10-01,12,4,2,4,0,12,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2018,9
104,104,2018-09-01,17,4,3,8,0,19,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2018,8
105,105,2019-06-01,24,4,3,10,0,2,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2019,5
106,106,2020-03-01,18,4,4,10,0,3,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2020,2
107,107,2018-11-01,10,2,2,1,0,24,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2018,10
108,108,2019-10-01,11,1,1,1,0,0,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2019,9
109,109,2018-12-01,9,3,2,3,0,10,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2018,11
110,110,2020-05-01,19,1,1,1,0,3,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2020,4
111,111,2019-09-01,2,0,0,0,0,0,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2019,8
112,112,2019-07-01,9,0,0,0,0,2,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2019,6
113,113,2020-04-01,9,0,0,0,0,0,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2020,3
114,114,2019-04-01,16,3,3,3,0,0,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2019,3
115,115,2019-12-01,9,1,1,0,0,0,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2019,11
116,116,2020-02-01,13,1,1,0,1,0,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2020,1
117,117,2019-01-01,11,4,1,2,0,8,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2019,0
118,118,2019-05-01,10,1,1,0,0,0,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2019,4
119,119,2020-01-01,12,0,0,0,0,0,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2020,0
120,120,2018-07-01,15,3,3,2,0,37,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2018,6
121,121,2019-03-01,18,4,4,7,0,0,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2019,2
122,122,2018-08-01,16,4,4,4,0,20,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2018,7
123,123,2018-06-01,17,1,1,1,0,50,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2018,5
124,124,2019-08-01,14,2,2,1,0,2,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0,2019,7
125,125,2020-04-01,34,13,6,15,4,17,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2020,3
126,126,2018-06-01,19,6,5,6,0,13,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2018,5
127,127,2019-05-01,36,14,4,11,0,27,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2019,4
128,128,2019-09-01,26,9,5,9,0,18,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2019,8
129,129,2018-08-01,29,10,6,11,0,27,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2018,7
