,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,dial100_count,ps_code,population,urban,dist_urban,strat_pca,treatment,group,dist_id,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd
3976,2018-06-01,13,0,0,0,0,20,49.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3977,2018-08-01,8,1,1,0,0,9,36.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3978,2019-06-01,11,0,0,0,0,14,33.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3979,2019-10-01,5,0,0,0,0,13,35.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3980,2019-12-01,4,0,0,0,0,12,21.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3981,2019-01-01,5,0,0,0,0,9,18.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3982,2018-10-01,9,0,0,0,0,13,27.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3983,2019-11-01,13,0,0,0,0,13,24.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3984,2019-02-01,8,0,0,0,0,11,15.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3985,2019-04-01,6,0,0,0,0,5,23.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3986,2019-03-01,9,0,0,0,0,11,22.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3987,2020-04-01,9,0,0,0,0,17,42.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3988,2019-09-01,7,0,0,0,0,15,16.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3989,2019-08-01,15,1,1,1,0,15,31.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3990,2018-05-01,8,1,1,0,0,13,72.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3991,2019-05-01,13,0,0,0,0,14,24.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3992,2020-05-01,9,0,0,0,0,13,54.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3993,2020-01-01,9,0,0,0,0,13,15.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3994,2020-03-01,8,0,0,0,0,8,33.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3995,2018-12-01,8,2,1,0,0,11,27.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3996,2018-07-01,8,1,1,2,0,16,52.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3997,2018-11-01,7,1,1,0,0,13,18.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3998,2019-07-01,7,0,0,0,0,28,42.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
3999,2018-09-01,6,0,0,0,0,8,18.0,10160.0,110000,Rural,15.0,-1.850991,Treatment,regular mhd,10000.0,5.0,2.3,0.02,1.0,0.0
4000,2019-08-01,28,4,3,2,0,48,18.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4001,2019-12-01,10,4,4,1,2,48,20.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4002,2020-02-01,10,3,2,0,0,42,17.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4003,2018-05-01,17,7,4,7,0,33,63.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4004,2019-05-01,26,4,4,0,0,18,19.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4005,2019-02-01,28,9,5,2,0,21,16.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4006,2018-06-01,21,4,3,5,0,55,58.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4007,2019-01-01,15,5,4,0,0,28,18.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4008,2020-03-01,19,6,2,3,0,32,16.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4009,2020-05-01,43,7,4,3,0,63,40.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4010,2019-11-01,20,7,5,2,1,58,24.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4011,2019-04-01,19,3,2,1,0,28,23.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4012,2020-01-01,13,7,4,2,4,56,24.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4013,2018-11-01,13,4,4,3,0,32,18.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4014,2019-03-01,29,8,7,3,0,31,23.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4015,2019-07-01,32,17,8,4,0,46,27.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4016,2018-08-01,22,7,7,4,0,37,27.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4017,2019-09-01,20,5,3,1,0,48,21.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4018,2018-07-01,19,3,3,4,0,58,36.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4019,2020-04-01,57,3,2,0,0,28,24.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4020,2018-12-01,20,6,5,9,0,26,15.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4021,2018-10-01,15,3,3,4,0,26,17.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4022,2019-10-01,21,1,1,1,0,62,20.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4023,2019-06-01,30,14,9,3,0,36,23.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4024,2018-09-01,19,4,2,7,0,29,22.0,11161.0,112937,Rural,17.0,-0.71507275,Treatment,women officers,11000.0,8.0,2.1666667,2.4,0.0,1.0
4025,2020-02-01,10,4,2,0,0,46,17.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4026,2018-08-01,18,2,2,0,0,51,10.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
4027,2020-03-01,28,6,5,2,0,35,23.0,11162.0,123024,Rural,17.0,-0.9751857,Treatment,regular mhd,11000.0,9.0,3.6944444,2.2,1.0,0.0
