,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,ps_code,urban,dist_urban,treatment,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,urban_encoded,treatment_encoded
258,2019-10-01,16,4,3,1,10,13,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
261,2019-11-01,25,5,4,1,8,24,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
264,2020-02-01,15,7,4,3,3,21,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
265,2020-05-01,23,11,3,7,0,29,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
266,2019-06-01,12,4,3,2,0,33,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
267,2019-12-01,19,7,6,2,2,18,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
268,2019-07-01,14,5,4,6,0,27,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
270,2020-01-01,14,5,4,2,19,33,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
273,2019-05-01,15,8,4,1,0,24,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
300,2020-05-01,6,4,3,1,0,6,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
301,2019-06-01,3,2,2,0,0,1,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
302,2019-10-01,3,1,1,0,0,48,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
303,2020-01-01,8,2,2,0,3,2,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
306,2019-11-01,3,1,1,1,4,2,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
307,2019-09-01,7,3,2,7,1,7,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
315,2020-02-01,4,2,2,1,0,3,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
316,2019-12-01,2,2,1,0,4,9,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
317,2020-03-01,8,2,2,0,0,6,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
318,2019-08-01,5,1,1,1,0,0,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
319,2020-04-01,7,3,2,1,0,4,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
323,2019-05-01,8,5,4,0,0,7,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
324,2019-07-01,4,2,2,1,0,0,2013.0,Rural,2.0,Treatment,9.0,2.6103897,2.35,0.0,1.0,0.0,1.0
350,2019-08-01,15,4,4,2,0,8,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
351,2020-05-01,20,7,4,3,0,30,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
354,2019-06-01,17,9,4,2,0,10,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
356,2020-04-01,26,10,6,8,0,21,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
357,2020-01-01,17,12,8,5,0,47,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
358,2019-05-01,10,5,5,1,0,1,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
359,2019-12-01,9,2,2,1,0,15,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
360,2019-09-01,4,1,1,0,0,17,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
361,2019-11-01,14,8,4,4,0,24,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
364,2019-07-01,22,8,6,1,0,7,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
366,2020-03-01,17,12,4,5,0,26,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
371,2020-02-01,13,7,4,0,0,31,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
372,2019-10-01,16,8,6,2,0,32,2015.0,Rural,2.0,Treatment,9.0,3.875,2.16,1.0,0.0,0.0,1.0
376,2020-01-01,13,5,4,0,5,27,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
377,2019-09-01,14,6,3,2,1,25,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
379,2020-02-01,20,6,4,2,4,21,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
381,2020-04-01,19,4,2,4,2,5,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
382,2019-11-01,23,9,3,1,0,27,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
384,2019-12-01,18,6,5,4,12,34,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
386,2020-05-01,23,7,3,3,1,33,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
388,2019-06-01,22,6,4,2,0,70,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
393,2019-08-01,21,3,2,1,0,38,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
395,2019-07-01,15,6,5,1,0,68,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
396,2019-10-01,17,11,4,4,2,46,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
397,2020-03-01,14,1,1,0,2,24,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
398,2019-05-01,24,11,8,2,0,52,2016.0,Rural,2.0,Treatment,8.0,2.967366,2.12,1.0,0.0,0.0,1.0
425,2019-07-01,55,11,8,6,0,49,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
428,2019-10-01,45,7,4,3,0,48,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
430,2019-11-01,47,5,3,2,0,41,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
431,2019-12-01,30,8,3,2,3,29,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
432,2020-02-01,36,4,3,0,16,27,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
435,2020-03-01,24,7,5,1,10,22,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
436,2019-09-01,31,3,3,1,0,35,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
437,2020-01-01,36,8,4,2,22,39,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
438,2019-08-01,35,5,3,2,0,30,2018.0,Rural,2.0,Treatment,9.0,3.7465985,3.15,0.0,1.0,0.0,1.0
