,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,ps_code,urban,dist_urban,treatment,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,urban_encoded,treatment_encoded
1163,2020-03-01,64,3,1,2,15,82,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
1165,2020-04-01,62,1,1,1,7,36,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
1166,2019-10-01,61,4,4,2,0,98,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
1167,2019-11-01,53,3,3,2,0,76,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
1171,2019-09-01,46,2,1,0,0,78,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
1172,2019-12-01,39,2,1,0,0,92,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
1201,2020-01-01,6,1,1,2,0,5,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1203,2019-08-01,5,1,1,0,0,7,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1204,2019-07-01,2,1,1,3,1,1,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1205,2020-04-01,6,2,2,5,0,2,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1208,2020-02-01,2,0,0,0,0,1,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1210,2019-06-01,0,0,0,0,0,3,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1211,2019-12-01,4,1,1,2,0,1,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1213,2019-10-01,6,0,0,0,0,3,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1215,2020-05-01,4,0,0,0,0,7,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1217,2019-05-01,7,1,1,2,0,2,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1218,2019-09-01,10,2,2,9,1,4,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1223,2020-03-01,0,0,0,0,0,7,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1224,2019-11-01,6,1,1,1,0,2,4049.0,Rural,5.0,Treatment,8.0,1.0,2.08,0.0,1.0,0.0,1.0
1228,2019-11-01,63,2,2,7,4,23,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1230,2019-07-01,51,1,1,3,0,25,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1231,2020-03-01,25,0,0,0,0,21,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1233,2019-08-01,39,2,2,3,0,31,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1235,2020-04-01,16,1,1,4,1,14,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1237,2020-01-01,33,2,2,5,3,18,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1239,2020-05-01,41,5,3,14,1,23,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1241,2019-10-01,51,0,0,0,2,19,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1242,2019-05-01,40,3,3,6,0,21,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1243,2019-09-01,52,5,4,9,2,25,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1244,2019-06-01,47,3,3,3,0,34,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1245,2020-02-01,27,1,1,2,3,16,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1246,2019-12-01,34,1,1,1,2,23,4050.0,Rural,5.0,Treatment,9.0,2.98125,3.09,0.0,1.0,0.0,1.0
1305,2020-05-01,12,3,3,6,0,46,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1306,2019-12-01,17,5,4,7,3,27,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1307,2019-11-01,28,4,4,18,7,37,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1308,2019-06-01,20,2,2,3,0,30,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1310,2020-04-01,20,8,2,27,0,39,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1311,2019-05-01,34,11,6,16,0,39,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1314,2019-08-01,27,6,5,7,0,33,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1315,2020-02-01,20,3,3,6,4,27,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1317,2020-01-01,15,3,2,5,3,16,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1318,2019-07-01,24,6,4,9,0,53,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1319,2019-09-01,12,1,1,2,1,28,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1320,2019-10-01,21,4,4,5,6,34,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1321,2020-03-01,9,3,2,2,6,20,4053.0,Rural,5.0,Treatment,9.0,3.5325205,2.17,0.0,1.0,0.0,1.0
1351,2019-06-01,17,1,1,1,0,15,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1352,2020-05-01,15,0,0,0,0,2,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1353,2020-03-01,18,2,2,6,2,10,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1354,2019-05-01,11,0,0,0,0,20,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1355,2019-12-01,16,0,0,0,1,10,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1358,2019-11-01,21,1,1,3,0,9,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1360,2020-02-01,21,0,0,0,0,10,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1365,2019-07-01,22,0,0,0,0,17,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1366,2019-10-01,22,2,2,3,4,32,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1367,2019-09-01,19,1,1,1,0,10,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1369,2020-04-01,8,1,1,2,0,3,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1370,2020-01-01,16,1,1,1,0,5,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1374,2019-08-01,15,0,0,0,0,12,4055.0,Urban,6.0,Treatment,7.0,2.1818182,2.06,0.0,1.0,1.0,1.0
1401,2019-06-01,48,6,3,18,0,63,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1404,2020-01-01,53,7,3,8,0,49,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1406,2020-03-01,41,0,0,0,7,65,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1407,2020-04-01,29,3,2,6,0,20,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1408,2020-02-01,56,4,4,3,0,52,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1412,2019-09-01,25,1,1,4,0,58,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1414,2019-07-01,49,7,3,17,0,67,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1416,2019-10-01,40,4,3,7,0,80,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1417,2019-08-01,35,1,1,2,0,60,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1418,2019-12-01,42,5,2,7,5,47,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1419,2020-05-01,42,7,2,6,0,39,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1420,2019-11-01,37,8,5,21,0,48,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1421,2019-05-01,30,4,3,7,0,57,4057.0,Urban,6.0,Treatment,8.0,1.2727273,2.11,1.0,0.0,1.0,1.0
1425,2020-03-01,5,1,1,1,0,6,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1427,2019-07-01,3,2,1,4,0,6,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1428,2020-05-01,16,4,1,14,0,5,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1430,2019-12-01,7,3,3,6,0,6,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1433,2019-05-01,4,1,1,3,0,6,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1435,2020-01-01,11,2,1,5,0,5,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1437,2019-10-01,15,2,2,2,0,13,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1438,2019-06-01,6,0,0,0,0,3,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1439,2019-11-01,6,2,2,1,0,5,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1440,2020-02-01,6,2,2,3,0,3,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1441,2019-08-01,8,3,1,3,0,9,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1442,2020-04-01,11,3,1,7,0,6,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1448,2019-09-01,7,1,1,2,0,6,4058.0,Rural,5.0,Treatment,9.0,3.6573427,2.11,1.0,0.0,0.0,1.0
1475,2019-10-01,38,0,0,0,4,21,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1477,2020-04-01,11,0,0,0,0,1,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1478,2020-01-01,45,1,1,1,0,17,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1480,2019-12-01,27,0,0,0,9,11,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1481,2020-05-01,19,0,0,0,0,13,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1484,2019-08-01,50,3,2,4,0,23,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1487,2019-07-01,35,1,1,0,0,19,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1488,2019-06-01,41,2,1,3,0,14,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1490,2019-05-01,33,3,2,4,0,12,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1494,2020-03-01,34,3,3,6,0,17,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1496,2020-02-01,30,1,1,1,0,15,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1497,2019-11-01,38,0,0,0,0,13,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1499,2019-09-01,39,0,0,0,0,14,4060.0,Urban,6.0,Treatment,6.0,0.0,1.09,0.0,1.0,1.0,1.0
1502,2020-01-01,54,4,2,4,7,58,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1505,2019-05-01,69,3,2,4,0,76,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1506,2020-02-01,54,0,0,0,3,55,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1507,2019-12-01,33,1,1,1,21,47,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1508,2019-10-01,97,2,2,0,0,80,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1511,2019-07-01,91,3,3,6,0,64,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1512,2020-04-01,23,0,0,0,0,29,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1516,2020-03-01,66,0,0,0,7,41,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1517,2019-08-01,115,7,4,12,1,55,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1518,2019-11-01,43,0,0,0,0,55,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1519,2019-06-01,81,7,4,15,0,74,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1523,2019-09-01,101,13,10,15,0,63,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1524,2020-05-01,50,0,0,0,0,36,4061.0,Urban,6.0,Treatment,8.0,2.3636365,2.14,1.0,0.0,1.0,1.0
1528,2019-08-01,27,1,1,2,0,9,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1531,2020-01-01,43,1,1,1,0,13,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1532,2019-09-01,41,3,2,3,0,12,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1534,2020-03-01,34,2,2,2,0,17,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1535,2019-11-01,25,3,2,6,0,17,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1537,2019-12-01,44,2,2,8,2,22,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1540,2019-10-01,47,3,3,11,0,19,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1543,2020-02-01,55,5,4,11,0,9,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1544,2019-05-01,45,6,4,5,0,23,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1545,2019-07-01,54,7,2,15,0,14,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1546,2020-05-01,32,2,2,2,0,9,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1548,2019-06-01,44,4,3,6,0,11,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1549,2020-04-01,22,1,1,0,0,9,4062.0,Urban,6.0,Treatment,6.0,1.1818182,1.05,1.0,0.0,1.0,1.0
1550,2020-05-01,34,4,4,6,0,30,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1552,2020-01-01,53,6,5,6,1,22,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1555,2019-11-01,53,11,7,7,1,38,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1562,2019-12-01,57,6,3,4,0,41,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1563,2020-04-01,35,5,3,7,1,15,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1564,2019-07-01,48,3,3,2,0,51,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1565,2019-05-01,30,6,5,4,0,38,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1566,2019-08-01,41,1,1,0,0,47,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1569,2020-03-01,28,4,3,4,0,26,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1570,2019-06-01,36,1,1,2,0,33,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1571,2019-09-01,78,11,7,13,2,31,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1573,2019-10-01,60,10,5,11,3,49,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1574,2020-02-01,46,6,2,1,0,38,4063.0,Urban,6.0,Treatment,8.0,3.4864435,2.06,0.0,1.0,1.0,1.0
1601,2020-05-01,35,10,1,0,0,17,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1603,2019-09-01,50,12,6,3,2,30,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1605,2019-06-01,33,5,3,2,0,44,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1606,2020-02-01,35,5,3,7,0,23,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1607,2020-01-01,44,0,0,0,0,24,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1610,2019-07-01,28,4,2,1,0,59,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1611,2019-10-01,41,4,3,4,0,37,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1612,2019-11-01,41,4,4,2,3,21,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1613,2020-04-01,30,3,2,1,0,2,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1616,2019-12-01,27,3,1,0,4,23,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1617,2019-08-01,32,7,5,6,0,37,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1621,2019-05-01,56,11,6,4,0,33,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1624,2020-03-01,36,2,2,1,4,8,4065.0,Urban,6.0,Treatment,6.0,0.18181819,1.25,0.0,1.0,1.0,1.0
1652,2019-05-01,14,0,0,0,0,8,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1653,2019-09-01,10,1,1,1,0,11,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1655,2019-10-01,11,1,1,0,0,12,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1656,2020-03-01,17,8,7,14,0,8,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1658,2019-11-01,14,4,4,8,0,9,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1659,2020-02-01,16,5,3,24,0,12,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1662,2020-01-01,17,8,6,6,0,17,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1663,2019-08-01,11,4,4,2,0,7,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1667,2019-12-01,10,3,3,4,0,7,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1669,2020-05-01,18,7,5,2,0,10,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1670,2020-04-01,17,5,2,3,0,5,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1672,2019-07-01,14,4,2,3,0,5,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1674,2019-06-01,9,1,1,0,0,13,4067.0,Rural,5.0,Treatment,7.0,1.3,2.05,1.0,0.0,0.0,1.0
1676,2020-03-01,50,6,5,4,2,27,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1678,2019-06-01,60,5,4,12,0,55,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1681,2019-10-01,71,2,1,9,0,32,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1683,2019-05-01,59,9,3,21,0,52,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1684,2019-11-01,84,5,5,8,5,35,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1685,2019-07-01,47,1,1,1,0,58,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1687,2019-12-01,64,5,4,8,6,26,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1688,2020-02-01,81,4,3,11,9,41,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1689,2020-05-01,44,3,2,5,0,35,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1693,2019-08-01,56,4,3,8,0,36,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1694,2020-04-01,14,1,1,2,0,16,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1696,2019-09-01,53,5,5,6,0,32,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1698,2020-01-01,72,8,6,16,6,27,4068.0,Urban,6.0,Treatment,7.0,1.1666666,2.1,0.0,1.0,1.0,1.0
1700,2019-06-01,55,3,3,4,0,19,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1703,2020-05-01,24,1,1,1,0,6,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1704,2020-04-01,9,0,0,0,0,4,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1706,2019-08-01,63,2,2,4,0,20,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1707,2020-03-01,38,1,1,1,0,11,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1708,2019-10-01,73,2,2,2,1,19,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1710,2019-09-01,66,4,3,1,1,18,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1711,2020-01-01,69,6,3,3,0,18,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1712,2019-12-01,55,0,0,0,1,18,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1714,2019-11-01,56,0,0,0,0,13,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1715,2019-07-01,57,7,5,4,0,23,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1716,2019-05-01,32,3,3,1,0,12,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1719,2020-02-01,63,0,0,0,0,13,4069.0,Urban,6.0,Treatment,8.0,2.25,2.15,1.0,0.0,1.0,1.0
1726,2020-03-01,31,7,3,7,0,22,4070.0,Urban,6.0,Treatment,8.0,3.3112674,2.09,1.0,0.0,1.0,1.0
1730,2020-01-01,37,3,3,3,2,17,4070.0,Urban,6.0,Treatment,8.0,3.3112674,2.09,1.0,0.0,1.0,1.0
1732,2019-08-01,33,5,2,6,0,16,4070.0,Urban,6.0,Treatment,8.0,3.3112674,2.09,1.0,0.0,1.0,1.0
1733,2020-02-01,24,2,2,4,0,19,4070.0,Urban,6.0,Treatment,8.0,3.3112674,2.09,1.0,0.0,1.0,1.0
1734,2020-04-01,19,1,1,1,0,8,4070.0,Urban,6.0,Treatment,8.0,3.3112674,2.09,1.0,0.0,1.0,1.0
1739,2019-09-01,44,4,2,5,0,16,4070.0,Urban,6.0,Treatment,8.0,3.3112674,2.09,1.0,0.0,1.0,1.0
1741,2019-11-01,34,3,2,4,0,21,4070.0,Urban,6.0,Treatment,8.0,3.3112674,2.09,1.0,0.0,1.0,1.0
1743,2020-05-01,35,3,2,2,1,13,4070.0,Urban,6.0,Treatment,8.0,3.3112674,2.09,1.0,0.0,1.0,1.0
1744,2019-10-01,31,4,2,7,0,12,4070.0,Urban,6.0,Treatment,8.0,3.3112674,2.09,1.0,0.0,1.0,1.0
1745,2019-05-01,32,2,2,4,0,21,4070.0,Urban,6.0,Treatment,8.0,3.3112674,2.09,1.0,0.0,1.0,1.0
1746,2019-07-01,32,1,1,0,0,15,4070.0,Urban,6.0,Treatment,8.0,3.3112674,2.09,1.0,0.0,1.0,1.0
1748,2019-06-01,39,2,2,2,0,27,4070.0,Urban,6.0,Treatment,8.0,3.3112674,2.09,1.0,0.0,1.0,1.0
